scenario,band,day,hour,threshold_m,street_share,node_share,open_locations,open_locations_paris
declared,central,Mon,0,100,0.042843424927671105,0.06093616580847155,390,339
declared,central,Mon,0,200,0.15748919493494837,0.18829404610965922,390,339
declared,central,Mon,0,300,0.31927246940323134,0.35998913240355007,390,339
declared,central,Mon,0,400,0.49005176719825494,0.5365746370999043,390,339
declared,central,Mon,1,100,0.041273077706096825,0.05713250705100008,384,333
declared,central,Mon,1,200,0.15495168225063877,0.18423163505576112,384,333
declared,central,Mon,1,300,0.31746311784182973,0.358151991098921,384,333
declared,central,Mon,1,400,0.48856490120067886,0.5356301912179471,384,333
declared,central,Mon,2,100,0.04101426978680505,0.05665381530261081,383,332
declared,central,Mon,2,200,0.15410882883378893,0.18284731026987863,383,332
declared,central,Mon,2,300,0.31575441847160546,0.35557740574947605,383,332
declared,central,Mon,2,400,0.4856192700741095,0.5313995911713717,383,332
declared,central,Mon,3,100,0.04101426978680505,0.05665381530261081,383,332
declared,central,Mon,3,200,0.15410882883378893,0.18284731026987863,383,332
declared,central,Mon,3,300,0.31575441847160546,0.35557740574947605,383,332
declared,central,Mon,3,400,0.4856192700741095,0.5313995911713717,383,332
declared,central,Mon,4,100,0.04250132381869939,0.060405723600796955,388,337
declared,central,Mon,4,200,0.15644811154201016,0.18679328279038476,388,337
declared,central,Mon,4,300,0.3173266733641062,0.3571169819132145,388,337
declared,central,Mon,4,400,0.48688889833090154,0.5321758480606515,388,337
declared,central,Mon,5,100,0.04258279433835376,0.06050922451936761,389,338
declared,central,Mon,5,200,0.15672095101181877,0.1870520350868114,389,338
declared,central,Mon,5,300,0.31775549662050695,0.3575051103578544,389,338
declared,central,Mon,5,400,0.48715226981257986,0.5323310994385075,389,338
declared,central,Mon,6,100,0.04312408979899674,0.06115610526043418,399,347
declared,central,Mon,6,200,0.1588203570691655,0.18907030299893912,399,347
declared,central,Mon,6,300,0.32114576152568103,0.36046782415193934,399,347
declared,central,Mon,6,400,0.4919754455057912,0.5360700701218724,399,347
declared,central,Mon,7,100,0.04756489401877658,0.06727559707092401,478,400
declared,central,Mon,7,200,0.17453650789941047,0.20754521696380054,478,400
declared,central,Mon,7,300,0.3512992312841728,0.3944678759023986,478,400
declared,central,Mon,7,400,0.5292894134602095,0.577030558646208,478,400
declared,central,Mon,8,100,0.06211102332093912,0.08562113488757213,678,569
declared,central,Mon,8,200,0.22183549570299035,0.26079643956840115,678,569
declared,central,Mon,8,300,0.4264562266477377,0.47605247496571534,678,569
declared,central,Mon,8,400,0.6124791679935203,0.6660542862317903,678,569
declared,central,Mon,9,100,0.3319281180026513,0.420899422982379,4753,4168
declared,central,Mon,9,200,0.7090577696162649,0.7817941884234223,4753,4168
declared,central,Mon,9,300,0.8548009384546539,0.908531063213186,4753,4168
declared,central,Mon,9,400,0.9093138897963614,0.9508111884492975,4753,4168
declared,central,Mon,10,100,0.33248812112683573,0.4215204284938029,4768,4183
declared,central,Mon,10,200,0.7092925102420924,0.7819623774160995,4768,4183
declared,central,Mon,10,300,0.8548009384546539,0.908531063213186,4768,4183
declared,central,Mon,10,400,0.9093138897963614,0.9508111884492975,4768,4183
declared,central,Mon,11,100,0.33239216529033155,0.42146867803451754,4767,4183
declared,central,Mon,11,200,0.7091201489289632,0.7816777498900302,4767,4183
declared,central,Mon,11,300,0.854753914835563,0.9084404999094366,4767,4183
declared,central,Mon,11,400,0.9093138897963614,0.9508111884492975,4767,4183
declared,central,Mon,12,100,0.3303831748616665,0.41924340828524853,4699,4120
declared,central,Mon,12,200,0.7084420301559724,0.7812119957564624,4699,4120
declared,central,Mon,12,300,0.8546595598540768,0.9085051879835434,4699,4120
declared,central,Mon,12,400,0.9093124151944132,0.9508241260641188,4699,4120
declared,central,Mon,13,100,0.3306709702331759,0.4197221000336378,4730,4145
declared,central,Mon,13,200,0.7077731435016158,0.7806427407043237,4730,4145
declared,central,Mon,13,300,0.8543445423809595,0.9081041219240821,4730,4145
declared,central,Mon,13,400,0.9092840381566687,0.9508111884492975,4730,4145
declared,central,Mon,14,100,0.3322975846758932,0.42130048904184025,4768,4181
declared,central,Mon,14,200,0.7091205070937749,0.781781250808601,4768,4181
declared,central,Mon,14,300,0.8548009384546539,0.908531063213186,4768,4181
declared,central,Mon,14,400,0.9093138897963614,0.9508111884492975,4768,4181
declared,central,Mon,15,100,0.3322209035677486,0.42126167619737626,4764,4179
declared,central,Mon,15,200,0.7088199386126887,0.7814966232825317,4764,4179
declared,central,Mon,15,300,0.8545746310813872,0.9084793127539007,4764,4179
declared,central,Mon,15,400,0.9092003853308966,0.9507206251455481,4764,4179
declared,central,Mon,16,100,0.3312020633824266,0.42003260278934973,4729,4148
declared,central,Mon,16,200,0.7080312155946384,0.7806168654746811,4729,4148
declared,central,Mon,16,300,0.8541827434534638,0.9082464356871167,4729,4148
declared,central,Mon,16,400,0.9089736427317433,0.9505912489973348,4729,4148
declared,central,Mon,17,100,0.3278309079808284,0.41619013118741427,4628,4058
declared,central,Mon,17,200,0.7058310565204833,0.7785209718736253,4628,4058
declared,central,Mon,17,300,0.8533267533139222,0.9076513054053355,4628,4058
declared,central,Mon,17,400,0.9082096430593161,0.9500737444044816,4628,4058
declared,central,Mon,18,100,0.05525626151524265,0.07727637332781329,555,480
declared,central,Mon,18,200,0.1994812847181525,0.2345977695552048,555,480
declared,central,Mon,18,300,0.3886758388753368,0.435066111211737,555,480
declared,central,Mon,18,400,0.5662336775977037,0.6167102233032318,555,480
declared,central,Mon,19,100,0.048380222019539704,0.06748259890806531,473,405
declared,central,Mon,19,200,0.1763009719617342,0.2084249747716511,473,405
declared,central,Mon,19,300,0.35408124197263136,0.3982715346598701,473,405
declared,central,Mon,19,400,0.5319181627000908,0.5813387843817114,473,405
declared,central,Mon,20,100,0.046394186837295105,0.06515382824022563,442,378
declared,central,Mon,20,200,0.17072544645969265,0.20227960773151862,442,378
declared,central,Mon,20,300,0.34550016825973584,0.3872486868320956,442,378
declared,central,Mon,20,400,0.5208554203925089,0.5674955365228866,442,378
declared,central,Mon,21,100,0.04452837643376296,0.0628897456464926,421,361
declared,central,Mon,21,200,0.16411549570496198,0.19509923150567962,421,361
declared,central,Mon,21,300,0.3327806320254353,0.3737030041141615,421,361
declared,central,Mon,21,400,0.5068172093631941,0.5524749657153207,421,361
declared,central,Mon,22,100,0.04348083592785673,0.061647734623644784,405,350
declared,central,Mon,22,200,0.16038054172701732,0.19095919476285353,405,350
declared,central,Mon,22,300,0.32493051956398067,0.36449142236137344,405,350
declared,central,Mon,22,400,0.49669064527162826,0.5413486169689756,405,350
declared,central,Mon,23,100,0.04298745247083195,0.060949103423292884,393,341
declared,central,Mon,23,200,0.15822891449737117,0.18863042409501385,393,341
declared,central,Mon,23,300,0.32006526396231927,0.3599632571739074,393,341
declared,central,Mon,23,400,0.4901642438931947,0.5357983802106243,393,341
declared,central,Tue,0,100,0.042770244379431006,0.06067741351204492,390,339
declared,central,Tue,0,200,0.15741921222189156,0.1878282919760913,390,339
declared,central,Tue,0,300,0.31830914621577033,0.3581390534840997,390,339
declared,central,Tue,0,400,0.4871228460938609,0.5323699122829715,390,339
declared,central,Tue,1,100,0.041199897157856734,0.056873754754573444,384,333
declared,central,Tue,1,200,0.154881699537582,0.18376588092219318,384,333
declared,central,Tue,1,300,0.3166645466320905,0.3564701011721479,384,333
declared,central,Tue,1,400,0.485917335223257,0.5316971563122622,384,333
declared,central,Tue,2,100,0.041199897157856734,0.056873754754573444,384,333
declared,central,Tue,2,200,0.154881699537582,0.18376588092219318,384,333
declared,central,Tue,2,300,0.3166645466320905,0.3564701011721479,384,333
declared,central,Tue,2,400,0.485917335223257,0.5316971563122622,384,333
declared,central,Tue,3,100,0.041199897157856734,0.056873754754573444,384,333
declared,central,Tue,3,200,0.154881699537582,0.18376588092219318,384,333
declared,central,Tue,3,300,0.3166645466320905,0.3564701011721479,384,333
declared,central,Tue,3,400,0.485917335223257,0.5316971563122622,384,333
declared,central,Tue,4,100,0.04268695118975108,0.06062566305275959,389,338
declared,central,Tue,4,200,0.15722098224580325,0.1877118534426993,389,338
declared,central,Tue,4,300,0.3180720495468695,0.35784148834320906,389,338
declared,central,Tue,4,400,0.48690560835307684,0.5322017232902942,389,338
declared,central,Tue,5,100,0.042768421709405445,0.06072916397133025,390,339
declared,central,Tue,5,200,0.15749382171561183,0.18797060573912594,390,339
declared,central,Tue,5,300,0.3185008728032703,0.358229616787849,390,339
declared,central,Tue,5,400,0.48716897983475527,0.5323569746681501,390,339
declared,central,Tue,6,100,0.043309717170048424,0.06137604471239682,400,348
declared,central,Tue,6,200,0.15959322777295856,0.18998887365125366,400,348
declared,central,Tue,6,300,0.32189113770844435,0.3611923305819339,400,348
declared,central,Tue,6,400,0.49199215552796655,0.536095945351515,400,348
declared,central,Tue,7,100,0.04768002572465192,0.06744378606360131,477,401
declared,central,Tue,7,200,0.17508403533046793,0.20823091054933113,477,401
declared,central,Tue,7,300,0.3518033989528205,0.39497244288043054,477,401
declared,central,Tue,7,400,0.5291599373636813,0.576991745801744,477,401
declared,central,Tue,8,100,0.062019234971473935,0.08562113488757213,677,568
declared,central,Tue,8,200,0.22149940776834437,0.2604341863534039,677,568
declared,central,Tue,8,300,0.42610318979488676,0.47580666028411,677,568
declared,central,Tue,8,400,0.6126948026144655,0.6662095376096463,677,568
declared,central,Tue,9,100,0.3326240932522208,0.4218179936346935,4764,4180
declared,central,Tue,9,200,0.7099895905238188,0.7829197609128781,4764,4180
declared,central,Tue,9,300,0.8560323983280169,0.9099153879990685,4764,4180
declared,central,Tue,9,400,0.9104493851063098,0.9519885113980386,4764,4180
declared,central,Tue,10,100,0.33320687276282085,0.4225036872202241,4776,4192
declared,central,Tue,10,200,0.7102074017296878,0.7830750122907341,4776,4192
declared,central,Tue,10,300,0.8560323983280169,0.9099153879990685,4776,4192
declared,central,Tue,10,400,0.9104493851063098,0.9519885113980386,4776,4192
declared,central,Tue,11,100,0.3331109169263167,0.42245193676093873,4775,4192
declared,central,Tue,11,200,0.7100350404165586,0.7827903847646648,4775,4192
declared,central,Tue,11,300,0.855985374708926,0.9098248246953192,4775,4192
declared,central,Tue,11,400,0.9104493851063098,0.9519885113980386,4775,4192
declared,central,Tue,12,100,0.33100170080485786,0.42009729086345643,4706,4128
declared,central,Tue,12,200,0.7092506892894406,0.7822599425569902,4706,4128
declared,central,Tue,12,300,0.8557462966171155,0.9098118870804979,4706,4128
declared,central,Tue,12,400,0.9104325262231934,0.9519885113980386,4706,4128
declared,central,Tue,13,100,0.3314859838881954,0.42079592206380834,4740,4155
declared,central,Tue,13,200,0.7087036084116524,0.781781250808601,4740,4155
declared,central,Tue,13,300,0.8555760022543226,0.9094884467099645,4740,4155
declared,central,Tue,13,400,0.9104195334666171,0.9519885113980386,4740,4155
declared,central,Tue,14,100,0.3331125983309128,0.4223743110720108,4779,4192
