scenario,band,day,hour,threshold_m,pop_share,pop_share_node_alloc,residents_covered
declared,central,Tue,2,400,0.5168131533918929,0.5281403863787191,1023875
declared,central,Tue,3,100,0.03861040300591899,0.04720564200982713,76492
declared,central,Tue,3,200,0.15148525169508917,0.16169578252011152,300112
declared,central,Tue,3,300,0.32313982742830183,0.33354065528718413,640183
declared,central,Tue,3,400,0.5168131533918929,0.5281403863787191,1023875
declared,central,Tue,4,100,0.0389407701066324,0.04780214396413542,77147
declared,central,Tue,4,200,0.15213502151785382,0.1624572346709014,301400
declared,central,Tue,4,300,0.3235984098074733,0.33406700785524823,641091
declared,central,Tue,4,400,0.5173048448203964,0.5286567967531777,1024850
declared,central,Tue,5,100,0.03899295588238449,0.04785981542762432,77250
declared,central,Tue,5,200,0.15232756419047103,0.1626370481507202,301781
declared,central,Tue,5,300,0.32383410069630864,0.33436827500591537,641558
declared,central,Tue,5,400,0.5174431787082319,0.5287478150354524,1025124
declared,central,Tue,6,100,0.039499627952777484,0.04821970634945774,78254
declared,central,Tue,6,200,0.15428319538973786,0.16433811790531247,305655
declared,central,Tue,6,300,0.32707513694466467,0.33790792569437733,647979
declared,central,Tue,6,400,0.5212584671970939,0.5328348587093321,1032682
declared,central,Tue,7,100,0.04432107586106042,0.05356184122631377,87806
declared,central,Tue,7,200,0.17172918949692145,0.18304281907485992,340218
declared,central,Tue,7,300,0.3604003997969716,0.37188315662168836,714001
declared,central,Tue,7,400,0.5627466595681005,0.574107159707645,1114876
declared,central,Tue,8,100,0.060301236182389584,0.07318152584442005,119465
declared,central,Tue,8,200,0.2279132633935948,0.24074511135434998,451526
declared,central,Tue,8,300,0.45826939715004483,0.4726757660690185,907892
declared,central,Tue,8,400,0.6812094855762718,0.6946407227078811,1349566
declared,central,Tue,9,100,0.390898790511377,0.4665365372288832,774422
declared,central,Tue,9,200,0.8362663384392138,0.8597950658455218,1656755
declared,central,Tue,9,300,0.9707071994460605,0.9734974095548272,1923100
declared,central,Tue,9,400,0.993215293792457,0.9927901918757491,1967691
declared,central,Tue,10,100,0.3914622980810647,0.4670603888567463,775539
declared,central,Tue,10,200,0.8366248617809213,0.860094106549408,1657465
declared,central,Tue,10,300,0.9707071994460605,0.9734974095548272,1923100
declared,central,Tue,10,400,0.993215293792457,0.9927901918757491,1967691
declared,central,Tue,11,100,0.3914269180136853,0.4670476277143535,775469
declared,central,Tue,11,200,0.8365386481008761,0.8600009070992828,1657294
declared,central,Tue,11,300,0.9706688439041418,0.9734486766888298,1923024
declared,central,Tue,11,400,0.993215293792457,0.9927901918757491,1967691
declared,central,Tue,12,100,0.3884662740987726,0.4636559043498923,769603
declared,central,Tue,12,200,0.8352395946943216,0.859140749989973,1654720
declared,central,Tue,12,300,0.9702522898050697,0.9734190666622043,1922199
declared,central,Tue,12,400,0.9932079347369198,0.9927901918757491,1967677
declared,central,Tue,13,100,0.38883223349659946,0.46397064278475836,770328
declared,central,Tue,13,200,0.8345890067752539,0.8584635350381059,1653432
declared,central,Tue,13,300,0.9699896099153986,0.9730524684828642,1921678
declared,central,Tue,13,400,0.9932079347369198,0.9927901918757491,1967677
declared,central,Tue,14,100,0.39112379216126275,0.4664995222567183,774868
declared,central,Tue,14,200,0.8362910605926599,0.8598088616464561,1656804
declared,central,Tue,14,300,0.9707071994460605,0.9734974095548272,1923100
declared,central,Tue,14,400,0.993215293792457,0.9927901918757491,1967691
declared,central,Tue,15,100,0.39105199175923416,0.46645032713514084,774726
declared,central,Tue,15,200,0.8359552189723592,0.8596320889037541,1656138
declared,central,Tue,15,300,0.9705507338569704,0.9734727478427082,1922790
declared,central,Tue,15,400,0.9931285656906067,0.9926668833151551,1967519
declared,central,Tue,16,100,0.3897858752127943,0.46512737472872684,772218
declared,central,Tue,16,200,0.8351528754845664,0.8587973873868144,1654549
declared,central,Tue,16,300,0.970499106045839,0.9734720982702032,1922688
declared,central,Tue,16,400,0.9931285656906067,0.9926668833151551,1967519
declared,central,Tue,17,100,0.38471734152321135,0.4592481109721327,762176
declared,central,Tue,17,200,0.8323689617353405,0.8565051850400256,1649033
declared,central,Tue,17,300,0.9700886361027122,0.9730337402169509,1921874
declared,central,Tue,17,400,0.9931280701753196,0.9926644339952639,1967518
declared,central,Tue,18,100,0.052402597102634306,0.06468362545691,103816
declared,central,Tue,18,200,0.20115361277875637,0.21090486101336178,398512
declared,central,Tue,18,300,0.41035362275240356,0.4207426451127685,812965
declared,central,Tue,18,400,0.618554500995962,0.6281237842494048,1225439
