text,c_disp_j,n,basis,hours_at_h30
DAE accessible uniquement pour le personnel L au V 8h/19h,"{lundi,mardi,mercredi,jeudi,vendredi,événements}",3,parsed_text,Mon 8-19h | Tue 8-19h | Wed 8-19h | Thu 8-19h | Fri 8-19h
L au V 8h30/17h,"{lundi,mardi,mercredi,jeudi,vendredi}",3,parsed_text,Mon 8-17h | Tue 8-17h | Wed 8-17h | Thu 8-17h | Fri 8-17h
L au V 9h/12h 13h30/16h,"{lundi,mardi,mercredi,jeudi,vendredi}",2,parsed_text,Mon 9-12h 13-16h | Tue 9-12h 13-16h | Wed 9-12h 13-16h | Thu 9-12h 13-16h | Fri 9-12h 13-16h
L au V 9h/16h,"{lundi,mardi,mercredi,jeudi,vendredi}",2,parsed_text,Mon 9-16h | Tue 9-16h | Wed 9-16h | Thu 9-16h | Fri 9-16h
L au V 9h/12h 13h30/16h30,"{lundi,mardi,mercredi,jeudi,vendredi}",2,parsed_text,Mon 9-12h 13-16h | Tue 9-12h 13-16h | Wed 9-12h 13-16h | Thu 9-12h 13-16h | Fri 9-12h 13-16h
L au V 9h/12h 14h/17h,"{lundi,mardi,mercredi,jeudi,vendredi}",2,parsed_text,Mon 9-12h 14-17h | Tue 9-12h 14-17h | Wed 9-12h 14-17h | Thu 9-12h 14-17h | Fri 9-12h 14-17h
L au V 9h/12h 14h/18h,"{lundi,mardi,mercredi,jeudi,vendredi}",2,parsed_text,Mon 9-12h 14-18h | Tue 9-12h 14-18h | Wed 9-12h 14-18h | Thu 9-12h 14-18h | Fri 9-12h 14-18h
L au V 9h30-17h,"{lundi,mardi,mercredi,jeudi,vendredi}",2,parsed_text,Mon 9-17h | Tue 9-17h | Wed 9-17h | Thu 9-17h | Fri 9-17h
L au V 9h30/17h,"{lundi,mardi,mercredi,jeudi,vendredi}",2,parsed_text,Mon 9-17h | Tue 9-17h | Wed 9-17h | Thu 9-17h | Fri 9-17h
L 7h30/8h30 12h/13h30 Ma 12h/13h30 17h/20h Me 7h/8h30 12h/18h J 12h/13h30 17h/22h30 V 12h/13h30 17h/20h S 10h/13h 14h/19h D 8h/13h,{7j/7},2,parsed_text,Mon 7-8h 12-13h | Tue 12-13h 17-20h | Wed 7-8h 12-18h | Thu 12-13h 17-22h | Fri 12-13h 17-20h | Sat 10-13h 14-19h | Sun 8-13h
L au V 9h-17h,"{lundi,mardi,mercredi,jeudi,vendredi}",2,parsed_text,Mon 9-17h | Tue 9-17h | Wed 9-17h | Thu 9-17h | Fri 9-17h
L au V 6h/23h S 6h/18h30,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",2,parsed_text,Mon 6-23h | Tue 6-23h | Wed 6-23h | Thu 6-23h | Fri 6-23h | Sat 6-18h
L au S 8h/19h30,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",2,parsed_text,Mon 8-19h | Tue 8-19h | Wed 8-19h | Thu 8-19h | Fri 8-19h | Sat 8-19h
L au V 8h30/19h,"{lundi,mardi,mercredi,jeudi,vendredi}",2,parsed_text,Mon 8-19h | Tue 8-19h | Wed 8-19h | Thu 8-19h | Fri 8-19h
L au S 8h30-19h,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",2,parsed_text,Mon 8-19h | Tue 8-19h | Wed 8-19h | Thu 8-19h | Fri 8-19h | Sat 8-19h
L au V 8h00/18h30 sauf période de vacances scolaires. (Interphone à l'entrée),"{lundi,mardi,mercredi,jeudi,vendredi}",2,parsed_text,Mon 8-18h | Tue 8-18h | Wed 8-18h | Thu 8-18h | Fri 8-18h
L au V 7h-18h,"{lundi,mardi,mercredi,jeudi,vendredi}",2,parsed_text,Mon 7-18h | Tue 7-18h | Wed 7-18h | Thu 7-18h | Fri 7-18h
L au V 7h/15h30,"{lundi,mardi,mercredi,jeudi,vendredi}",2,parsed_text,Mon 7-15h | Tue 7-15h | Wed 7-15h | Thu 7-15h | Fri 7-15h
L au V 7h/17h,"{lundi,mardi,mercredi,jeudi,vendredi}",2,parsed_text,Mon 7-17h | Tue 7-17h | Wed 7-17h | Thu 7-17h | Fri 7-17h
L au V 8h/18h30,"{lundi,mardi,mercredi,jeudi,vendredi}",2,parsed_text,Mon 8-18h | Tue 8-18h | Wed 8-18h | Thu 8-18h | Fri 8-18h
L au V 7h/18h,"{lundi,mardi,mercredi,jeudi,vendredi}",2,parsed_text,Mon 7-18h | Tue 7-18h | Wed 7-18h | Thu 7-18h | Fri 7-18h
L au V 7h/21h,"{lundi,mardi,mercredi,jeudi,vendredi}",2,parsed_text,Mon 7-21h | Tue 7-21h | Wed 7-21h | Thu 7-21h | Fri 7-21h
L au V 8h/12h 13h/16h,"{lundi,mardi,mercredi,jeudi,vendredi}",2,parsed_text,Mon 8-12h 13-16h | Tue 8-12h 13-16h | Wed 8-12h 13-16h | Thu 8-12h 13-16h | Fri 8-12h 13-16h
L au V 8h-19h,"{lundi,mardi,mercredi,jeudi,vendredi}",2,parsed_text,Mon 8-19h | Tue 8-19h | Wed 8-19h | Thu 8-19h | Fri 8-19h
L au V 8h-18h,"{lundi,mardi,mercredi,jeudi,vendredi}",2,parsed_text,Mon 8-18h | Tue 8-18h | Wed 8-18h | Thu 8-18h | Fri 8-18h
L au V 7h30/20h,"{lundi,mardi,mercredi,jeudi,vendredi}",2,parsed_text,Mon 7-20h | Tue 7-20h | Wed 7-20h | Thu 7-20h | Fri 7-20h
L au V 7h45/16h,"{lundi,mardi,mercredi,jeudi,vendredi}",2,parsed_text,Mon 8-16h | Tue 8-16h | Wed 8-16h | Thu 8-16h | Fri 8-16h
L au V 9h30/18h,"{lundi,mardi,mercredi,jeudi,vendredi}",2,parsed_text,Mon 9-18h | Tue 9-18h | Wed 9-18h | Thu 9-18h | Fri 9-18h
L au V 7h30/18h30,"{lundi,mardi,mercredi,jeudi,vendredi}",2,parsed_text,Mon 7-18h | Tue 7-18h | Wed 7-18h | Thu 7-18h | Fri 7-18h
L au V 8h à 18h30,"{lundi,mardi,mercredi,jeudi,vendredi}",2,parsed_text,Mon 8-18h | Tue 8-18h | Wed 8-18h | Thu 8-18h | Fri 8-18h
Mo-Fr 09:00-18:00,"{lundi,mardi,mercredi,jeudi,vendredi}",2,parsed_text,Mon 9-18h | Tue 9-18h | Wed 9-18h | Thu 9-18h | Fri 9-18h
