rank,lat,lon,x_l93,y_l93,osm_node,residents_gained_est,cum_share_strict_uncond_est,also_selected_by_node_allocation_within_100m,nearest_existing_aed_m,nearest_existing_aed_name,nearest_existing_aed_basis,address,address_type,address_distance_m,geocoder,arrondissement
189,48.883164,2.32657,650613.7,6865004.7,11027890135,2679,0.4244,False,46,Auchan Batignolles ,assumed_business,5 Boulevard des Batignolles 75008 Paris,housenumber,12,api-adresse.data.gouv.fr,75008
190,48.849022,2.412994,656923.3,6861157.8,11101808941,2674,0.4258,True,69,Bibliothèque Assia Djebar,assumed_business,13 Rue Louis Delaporte 75020 Paris,housenumber,16,api-adresse.data.gouv.fr,75020
191,48.857962,2.376903,654282.7,6862172.2,11053170887,2657,0.4271,True,34,CRECHE MUNICIPALE POPINCOURT,assumed_business,23 Rue Popincourt 75011 Paris,housenumber,5,api-adresse.data.gouv.fr,75011
192,48.893431,2.376608,654292.2,6866116.2,11069351355,2643,0.4284,False,25,FPS ABV Archereau - 71 rue Archereau - 3ème étage en face l'ascenseur,parsed_text,91 Rue de l'Ourcq 75019 Paris,housenumber,10,api-adresse.data.gouv.fr,75019
193,48.836705,2.304276,648933.3,6859853.0,10210282047,2640,0.4298,True,108,FRED EASY LIFE D.E.A,assumed_business,52 Rue d'Alleray 75015 Paris,housenumber,12,api-adresse.data.gouv.fr,75015
194,48.869136,2.391805,655385.6,6863406.0,11059221771,2636,0.4311,False,71,CLA222606107,assumed_business,92 Rue de Ménilmontant 75020 Paris,housenumber,4,api-adresse.data.gouv.fr,75020
195,48.861048,2.385201,654894.2,6862510.5,13078366990,2631,0.4324,False,66,Conservatoire Charles Munch,assumed_business,38 Rue Merlin 75011 Paris,housenumber,12,api-adresse.data.gouv.fr,75011
196,48.83491,2.326918,650593.5,6859639.1,11042459003,2625,0.4338,False,88,CRECHE MUNICIPALE LIANCOURT,assumed_business,53 Rue Daguerre 75014 Paris,housenumber,6,api-adresse.data.gouv.fr,75014
197,48.894553,2.381519,654653.2,6866238.2,11078813924,2620,0.4351,False,157,FRED PA-1 ENTIEREMENT AUTOMATIQUE,assumed_business,173 Avenue de Flandre 75019 Paris,housenumber,5,api-adresse.data.gouv.fr,75019
198,48.829675,2.329792,650799.5,6859055.2,11070834269,2616,0.4364,False,120,FRED PA-1 ENTIEREMENT AUTOMATIQUE,assumed_business,50 Rue Rémy Dumoncel 75014 Paris,housenumber,4,api-adresse.data.gouv.fr,75014
199,48.866049,2.379281,654464.3,6863069.9,11037488681,2615,0.4377,True,68,LOHEZIC.G,assumed_business,114 Rue Oberkampf 75011 Paris,housenumber,10,api-adresse.data.gouv.fr,75011
200,48.852872,2.275696,646852.1,6861669.5,10992294106,2605,0.439,False,82,FRED PA-1 ENTIEREMENT AUTOMATIQUE,assumed_business,2 Rue Jean de la Fontaine 75016 Paris,housenumber,8,api-adresse.data.gouv.fr,75016
