rank,lat,lon,x_l93,y_l93,osm_node,residents_gained_est,cum_share_strict_uncond_est,also_selected_by_node_allocation_within_100m,nearest_existing_aed_m,nearest_existing_aed_name,nearest_existing_aed_basis,address,address_type,address_distance_m,geocoder,arrondissement
82,48.884214,2.391322,655363.1,6865083.0,11056442987,3301,0.2649,True,169,"CRECHE 
MUNICIPALE DE LA SOLIDARITE",assumed_business,36 Rue d'Alsace-Lorraine 75019 Paris,housenumber,11,api-adresse.data.gouv.fr,75019
83,48.85877,2.406076,656423.8,6862245.5,11059611811,3299,0.2665,True,61,France Travail - Paris 20ème Vitruve,assumed_business,31 Rue Saint-Blaise 75020 Paris,housenumber,8,api-adresse.data.gouv.fr,75020
84,48.891626,2.321202,650228.1,6865949.1,10231285629,3299,0.2682,False,138,Permanence Sociale d'Accueil Gauthey,assumed_business,26 Rue Sauffroy 75017 Paris,housenumber,3,api-adresse.data.gouv.fr,75017
85,48.84278,2.295121,648267.4,6860534.5,10225414645,3291,0.2698,False,76,Gymnase Croix Nivert - Hall d'entrée droite,assumed_business,101 Rue de la Croix Nivert 75015 Paris,housenumber,14,api-adresse.data.gouv.fr,75015
86,48.867664,2.280841,647244.6,6863310.9,11007348531,3284,0.2715,False,87,Fred PA1,assumed_business,130 Rue de la Pompe 75116 Paris,housenumber,16,api-adresse.data.gouv.fr,
87,48.881314,2.295728,648350.1,6864818.8,10787705161,3282,0.2732,False,107,CLA224707728,none,30B Avenue Niel 75017 Paris,housenumber,9,api-adresse.data.gouv.fr,75017
88,48.87684,2.347064,652110.8,6864288.9,11044253026,3279,0.2748,False,90,Patchwork - 26 rue de Montholon - Accueil,parsed_text,2 Rue Pierre Semard 75009 Paris,housenumber,18,api-adresse.data.gouv.fr,75009
89,48.889278,2.297362,648477.8,6865703.2,1932413842,3273,0.2765,True,82,Centre Sportif de Reims (Broquedis) - Accueil,assumed_business,1 Rue Raymond Pitet 75017 Paris,housenumber,24,api-adresse.data.gouv.fr,75017
90,48.84119,2.313702,649629.5,6860345.6,10820201861,3268,0.2781,True,98,DAE ,none,52 Boulevard Pasteur 75015 Paris,housenumber,10,api-adresse.data.gouv.fr,75015
91,48.865777,2.394219,655559.8,6863031.2,11056958810,3264,0.2798,True,102,Gymnase de la Bidassoa - Accueil,assumed_business,12 Rue Villiers de l'Isle Adam 75020 Paris,housenumber,10,api-adresse.data.gouv.fr,75020
92,48.842057,2.290489,647926.7,6860457.2,10068830562,3259,0.2814,False,145,AED Cardiac Medina 16,assumed_business,155 Rue de Javel 75015 Paris,housenumber,10,api-adresse.data.gouv.fr,75015
93,48.851424,2.293233,648137.4,6861496.9,10782701342,3247,0.2831,False,78,LIFEPACK TYPE CR PLUS,assumed_business,25 Rue George Bernard Shaw 75015 Paris,housenumber,10,api-adresse.data.gouv.fr,75015
94,48.857484,2.399307,655926.1,6862106.2,11052950089,3239,0.2847,True,87,LABORATOIRE ORFILA - BIO 4L,assumed_business,58 Rue de Bagnolet 75020 Paris,housenumber,8,api-adresse.data.gouv.fr,75020
95,48.822607,2.343899,651828.6,6858260.7,10924350142,3234,0.2863,True,64,75- Brillat Savarin,assumed_business,59Z Rue Brillat-Savarin 75013 Paris,housenumber,3,api-adresse.data.gouv.fr,75013
96,48.834418,2.295687,648300.6,6859604.3,11070803342,3234,0.288,True,38,DIVISION 7,assumed_business,47 Rue Olivier de Serres 75015 Paris,housenumber,3,api-adresse.data.gouv.fr,75015
97,48.890593,2.326476,650613.9,6865830.8,10228803645,3213,0.2896,False,50,ASSO CASA DELTA 7 ,assumed_business,1 Rue Davy 75017 Paris,housenumber,9,api-adresse.data.gouv.fr,75017
98,48.869218,2.409153,656658.3,6863405.5,11435985564,3194,0.2912,False,85,CRECHE MUNICIPALE DE LA JUSTICE,assumed_business,78 Boulevard Mortier 75020 Paris,housenumber,11,api-adresse.data.gouv.fr,75020
99,48.877606,2.340879,651657.9,6864377.8,11032821233,3194,0.2928,True,52,FRED PA-1 ENTIEREMENT AUTOMATIQUE,assumed_business,14 Rue Choron 75009 Paris,housenumber,8,api-adresse.data.gouv.fr,75009
100,48.852722,2.406542,656452.9,6861572.7,11065210375,3179,0.2944,True,42,FRED PA-1 ENTIEREMENT AUTOMATIQUE,assumed_business,100 Rue d'Avron 75020 Paris,housenumber,6,api-adresse.data.gouv.fr,75020
101,48.837979,2.257898,645530.5,6860025.7,11013722342,3177,0.296,False,66,DAE-PorteStCloud-PCC,declared_24_7,219 Avenue de Versailles 75016 Paris,housenumber,8,api-adresse.data.gouv.fr,75016
102,48.895693,2.326462,650617.7,6866397.9,11071223386,3162,0.2976,True,108,FRED PA-1 ENTIEREMENT AUTOMATIQUE,assumed_business,20 Rue Navier 75017 Paris,housenumber,7,api-adresse.data.gouv.fr,75017
103,48.877593,2.394367,655580.8,6864345.0,11056443413,3146,0.2992,False,31,FRED PA-1 ENTIEREMENT AUTOMATIQUE,assumed_business,5 Rue Louise Thuliez 75019 Paris,housenumber,3,api-adresse.data.gouv.fr,75019
104,48.837928,2.297591,648443.8,6859993.4,10218261506,3134,0.3008,True,37,MY AUCHAN VAUGIRARD,assumed_business,304 Rue de Vaugirard 75015 Paris,housenumber,5,api-adresse.data.gouv.fr,75015
105,48.879813,2.349685,652305.8,6864617.9,11073354358,3130,0.3024,True,94,FNECS,assumed_business,67 Rue de Maubeuge 75010 Paris,housenumber,12,api-adresse.data.gouv.fr,75010
106,48.835928,2.321799,650218.7,6859755.5,11071234545,3126,0.3039,True,70,CLA235114325,assumed_business,16 Rue Raymond Losserand 75014 Paris,housenumber,10,api-adresse.data.gouv.fr,75014
107,48.871347,2.360284,653075.5,6863670.2,11044408919,3125,0.3055,True,39,DAE Episod Bonsergent Studio Bootcamp,assumed_business,9T Rue Lucien Sampaix 75010 Paris,housenumber,12,api-adresse.data.gouv.fr,75010
108,48.890121,2.361288,653165.9,6865757.1,11068729443,3123,0.3071,False,108,FRED PA-1 ENTIEREMENT AUTOMATIQUE,assumed_business,77 Rue Riquet 75018 Paris,housenumber,12,api-adresse.data.gouv.fr,75018
109,48.840261,2.286044,647598.7,6860260.3,10232633085,3118,0.3087,True,29,CRECHE COLLECTIVE FELIX KELLER,assumed_business,16 Rue Duranton 75015 Paris,housenumber,12,api-adresse.data.gouv.fr,75015
110,48.862442,2.363226,653283.3,6862678.3,11050857066,3115,0.3102,True,64,DAE MAISON SAINTONGE,assumed_business,21 Rue de Bretagne 75003 Paris,housenumber,6,api-adresse.data.gouv.fr,75003
111,48.884812,2.368336,653678.0,6865162.6,13278371946,3104,0.3118,False,69,Bibliothèque Hergé,assumed_business,"Rue Gaston Rébuffat 75019 Paris,Paris 19e Arrondissement",street,3,api-adresse.data.gouv.fr,75019
112,48.853889,2.396151,655691.5,6861708.2,11052627274,3100,0.3134,True,62,DAE CHANTIER LEGENDRE MURMURE,assumed_business,73 Boulevard de Charonne 75011 Paris,housenumber,4,api-adresse.data.gouv.fr,75011
113,48.871599,2.395652,655669.9,6863677.8,11059222062,3093,0.3149,False,138,CRECHE MUNICIPALE GUIGNIER,assumed_business,27 Rue Pixérécourt 75020 Paris,housenumber,8,api-adresse.data.gouv.fr,75020
114,48.842822,2.402232,656128.3,6860474.4,11104445756,3081,0.3165,True,89,DIVISION 12,assumed_business,25 Rue Sibuet 75012 Paris,housenumber,6,api-adresse.data.gouv.fr,75012
115,48.855987,2.386121,654957.3,6861947.3,11052634104,3065,0.318,False,156,FRED PA-1 ENTIEREMENT AUTOMATIQUE,assumed_business,49Z Rue Léon Frot 75011 Paris,housenumber,6,api-adresse.data.gouv.fr,75011
116,48.863914,2.370645,653828.8,6862837.6,11064617508,3062,0.3196,True,91,LE BATACLAN,assumed_business,30 Rue Oberkampf 75011 Paris,housenumber,12,api-adresse.data.gouv.fr,75011
117,48.841593,2.387608,655054.0,6860345.9,3537307227,3056,0.3211,True,75,Mairie 12EME - RDC loge du gardien,assumed_business,153 Avenue Daumesnil 75012 Paris,housenumber,18,api-adresse.data.gouv.fr,75012
118,48.828924,2.298987,648537.4,6858991.3,11070883934,3055,0.3227,True,51,PARKELIS,assumed_business,82 Boulevard Lefebvre 75015 Paris,housenumber,14,api-adresse.data.gouv.fr,75015
119,48.829385,2.322614,650272.3,6859027.5,11037035883,3054,0.3242,True,36,FRED PA-1 ENTIEREMENT AUTOMATIQUE,assumed_business,108 Rue d'Alésia 75014 Paris,housenumber,9,api-adresse.data.gouv.fr,75014
120,48.842712,2.302787,648829.9,6860522.0,10225492252,3031,0.3257,True,31,SANAMENTE,assumed_business,112 Rue Lecourbe 75015 Paris,housenumber,7,api-adresse.data.gouv.fr,75015
121,48.838197,2.281266,647245.9,6860034.1,10232645949,3018,0.3272,True,71,DAE ESRA 194 Lourmel,assumed_business,121 Avenue Félix Faure 75015 Paris,housenumber,10,api-adresse.data.gouv.fr,75015
122,48.894498,2.34787,652186.1,6866251.8,11080945927,3015,0.3288,True,59,FRED PA-1 ENTIEREMENT AUTOMATIQUE,assumed_business,2 Rue Neuve de la Chardonnière 75018 Paris,housenumber,5,api-adresse.data.gouv.fr,75018
123,48.830204,2.345956,651986.6,6859104.1,11015721339,3014,0.3303,False,63,DAE Neoness Blanqui,assumed_business,99 Boulevard Auguste Blanqui 75013 Paris,housenumber,19,api-adresse.data.gouv.fr,75013
124,48.879157,2.290967,647998.8,6864582.0,11013832032,2987,0.3318,True,53,Église Saint-Ferdinand-Sainte-Thérèse-de-l'Enfant-Jésus,assumed_business,5 Place Tristan Bernard 75017 Paris,housenumber,11,api-adresse.data.gouv.fr,75017
125,48.848183,2.290132,647906.6,6861138.5,10068818753,2986,0.3333,False,129,ISRP PARIS 15éme,assumed_business,61 Rue du Théâtre 75015 Paris,housenumber,11,api-adresse.data.gouv.fr,75015
126,48.867223,2.383312,654761.0,6863198.2,11056816273,2983,0.3348,True,72,FRED PA-1 / RATP,assumed_business,2 Boulevard de Belleville 75020 Paris,housenumber,7,api-adresse.data.gouv.fr,75020
127,48.844981,2.289533,647859.5,6860782.8,10057003893,2969,0.3363,False,95,EHPAD ANSELME PAYEN,assumed_business,70 Rue des Entrepreneurs 75015 Paris,housenumber,8,api-adresse.data.gouv.fr,75015
128,48.835822,2.394177,655531.2,6859700.5,11104444145,2965,0.3378,False,25,DAE Milleis Bercy St Emilion,assumed_business,22 Rue Nicolaï 75012 Paris,housenumber,6,api-adresse.data.gouv.fr,75012
129,48.868512,2.347742,652152.9,6863362.5,11052642215,2965,0.3393,True,88,KC - PARIS CLERY,assumed_business,2 Rue Poissonnière 75002 Paris,housenumber,7,api-adresse.data.gouv.fr,75002
130,48.846758,2.285394,647557.5,6860983.2,10068696989,2963,0.3408,False,41,FRED PA-1 / RATP,assumed_business,2 Place Charles Michels 75015 Paris,housenumber,21,api-adresse.data.gouv.fr,75015
131,48.880541,2.340478,651631.2,6864704.4,11032821389,2963,0.3423,True,127,BRISELAME,assumed_business,60 Rue des Martyrs 75009 Paris,housenumber,13,api-adresse.data.gouv.fr,75009
132,48.840894,2.265582,646097.5,6860344.5,10992352743,2944,0.3438,False,219,CPA POINT DU JOUR MALLETERRE,assumed_business,22 Boulevard Exelmans 75016 Paris,housenumber,8,api-adresse.data.gouv.fr,75016
133,48.853433,2.377243,654303.7,6861668.3,11053170605,2943,0.3453,True,54,MAISON DE SANTE FAIDHERBE,assumed_business,115 Avenue Ledru-Rollin 75011 Paris,housenumber,3,api-adresse.data.gouv.fr,75011
134,48.830398,2.370419,653782.5,6859111.1,14157935324,2939,0.3468,False,24,Université Assas Paris II - Charcot - Accueil RDC,parsed_text,16 Rue Dunois 75013 Paris,housenumber,11,api-adresse.data.gouv.fr,75013
135,48.866872,2.373216,654020.0,6863165.0,11064617315,2937,0.3482,False,73,CLA240816476,assumed_business,103 Avenue Parmentier 75011 Paris,housenumber,13,api-adresse.data.gouv.fr,75011
136,48.85165,2.400628,656018.1,6861456.8,11065210306,2935,0.3497,True,53,FRED PA-1 ENTIEREMENT AUTOMATIQUE,assumed_business,24 Rue d'Avron 75020 Paris,housenumber,5,api-adresse.data.gouv.fr,75020
137,48.839151,2.390029,655229.6,6860073.0,12641080422,2927,0.3512,False,27,FRED PA-1 ENTIEREMENT AUTOMATIQUE,assumed_business,5 Boulevard de Reuilly 75012 Paris,housenumber,24,api-adresse.data.gouv.fr,75012
138,48.860713,2.375488,654181.3,6862478.8,11053170233,2919,0.3527,False,74,FRED PA-1 ENTIEREMENT AUTOMATIQUE,assumed_business,73 Boulevard Voltaire 75011 Paris,housenumber,11,api-adresse.data.gouv.fr,75011
139,48.844461,2.410054,656703.7,6860652.3,11056563758,2913,0.3541,True,63,PHARMACIE PORTE DE SAINT MANDE,assumed_business,111 Avenue de Saint-Mandé 75012 Paris,housenumber,11,api-adresse.data.gouv.fr,75012
140,48.863928,2.381014,654589.5,6862833.1,11037488612,2905,0.3556,False,51,FRED PA-1 ENTIEREMENT AUTOMATIQUE,assumed_business,20 Rue Guillaume Bertrand 75011 Paris,housenumber,17,api-adresse.data.gouv.fr,75011
141,48.872898,2.389515,655220.9,6863825.6,10642599342,2903,0.3571,False,90,GROUPE SOS JEUNESSE,assumed_business,4 Place Henri Krasucki 75020 Paris,housenumber,6,api-adresse.data.gouv.fr,75020
142,48.893213,2.361319,653171.0,6866100.9,11068729691,2889,0.3585,False,53,LA MAISON BAKHITA,assumed_business,15 Rue de la Madone 75018 Paris,housenumber,8,api-adresse.data.gouv.fr,75018
143,48.889908,2.338673,651507.6,6865747.1,11083224995,2880,0.36,False,44,FRED PA-1 ENTIEREMENT AUTOMATIQUE,assumed_business,3 Rue Pierre Dac 75018 Paris,housenumber,8,api-adresse.data.gouv.fr,75018
144,48.821524,2.350156,652287.0,6858136.4,1773477750,2880,0.3614,True,125,CA Poterne des Peupliers,assumed_business,12 Rue Madeleine Brès 75013 Paris,housenumber,6,api-adresse.data.gouv.fr,75013
145,48.88151,2.316185,649850.6,6864827.3,10212135418,2875,0.3629,True,59,FRED PA-1 / RATP,assumed_business,"Place Prosper Goubaux 75017 Paris,Paris 17e Arrondissement",street,9,api-adresse.data.gouv.fr,75017
146,48.86642,2.406237,656442.0,6863095.9,11067273110,2871,0.3643,False,223,Emmaus Solidarite - 19 rue Le Bua - Salle commune,parsed_text,5 Place Octave Chanute 75020 Paris,housenumber,9,api-adresse.data.gouv.fr,75020
147,48.88762,2.38233,654706.7,6865466.8,11080256971,2859,0.3658,False,133,COS Alice Guy - 10 rue de Colmar - Hall d’accueil à côté de l’ascenseur,parsed_text,16 Rue Léon Giraud 75019 Paris,housenumber,8,api-adresse.data.gouv.fr,75019
148,48.85281,2.388726,655145.7,6861592.5,11052536728,2852,0.3672,True,17,DAE Episod Nation Studio Cycling,assumed_business,199 Boulevard Voltaire 75011 Paris,housenumber,11,api-adresse.data.gouv.fr,75011
149,48.889532,2.349787,652322.1,6865698.5,11080946372,2839,0.3686,False,33,FRED PA-1 ENTIEREMENT AUTOMATIQUE,assumed_business,76B Boulevard Barbès 75018 Paris,housenumber,10,api-adresse.data.gouv.fr,75018
150,48.891046,2.330877,650936.9,6865878.4,11083298514,2837,0.3701,True,89,COLLEGE ANTOINE COYSEVOX,assumed_business,142 Rue Lamarck 75018 Paris,housenumber,7,api-adresse.data.gouv.fr,75018
151,48.824929,2.346753,652040.2,6858517.1,10945616703,2833,0.3715,False,124,DAE-Maison de la Radiologie,assumed_business,51 Rue de l'Espérance 75013 Paris,housenumber,13,api-adresse.data.gouv.fr,75013
152,48.886893,2.308239,649273.1,6865431.0,10211758497,2831,0.3729,True,23,CSMF,assumed_business,19 Rue Cernuschi 75017 Paris,housenumber,8,api-adresse.data.gouv.fr,75017
153,48.881916,2.292074,648082.8,6864888.0,10889861463,2824,0.3744,False,55,GCC-CHANTIER ,assumed_business,40 Rue Bayen 75017 Paris,housenumber,8,api-adresse.data.gouv.fr,75017
154,48.825632,2.374664,654090.0,6858578.6,10737354894,2823,0.3758,True,49,LYCEE GALILEE,assumed_business,33 Rue du Dessous des Berges 75013 Paris,housenumber,9,api-adresse.data.gouv.fr,75013
155,48.856396,2.39417,655548.2,6861988.1,11052525785,2818,0.3772,False,30,Piscine Georges Rigal - Bassin,assumed_business,182 Rue de Charonne 75011 Paris,housenumber,5,api-adresse.data.gouv.fr,75011
156,48.830183,2.333942,651104.6,6859109.1,4508910460,2811,0.3786,False,73,Catacombes - CATACOMBES sortie,assumed_business,16 Avenue René Coty 75014 Paris,housenumber,17,api-adresse.data.gouv.fr,75014
157,48.848714,2.293921,648185.2,6861195.1,11070824753,2811,0.38,False,28,KUBIK ARCHITECTE,assumed_business,18B Rue Violet 75015 Paris,housenumber,5,api-adresse.data.gouv.fr,75015
158,48.848733,2.274856,646786.2,6861209.9,10994694906,2810,0.3815,False,79,DAE HOTEL FELICIEN PARIS,assumed_business,"Rue Degas 75016 Paris,Paris 16e Arrondissement",street,10,api-adresse.data.gouv.fr,75016
159,48.879535,2.389718,655241.5,6864563.5,11056443252,2809,0.3829,False,44,FRED PA-1 ENTIEREMENT AUTOMATIQUE,assumed_business,42 Rue de Crimée 75019 Paris,housenumber,8,api-adresse.data.gouv.fr,75019
160,48.832499,2.325845,650512.5,6859371.6,11042458898,2802,0.3843,True,90,Mairie 14EME - RDC DROITE,assumed_business,16 Rue Pierre Castagnou 75014 Paris,housenumber,7,api-adresse.data.gouv.fr,75014
